figure,seed,horizon,metric,seq_rc,return_rc,delta_return_minus_seq
fig_horizon_delta,0,2,lpips,0.18630553968250751,0.1890548225492239,0.002749282866716385
fig_horizon_delta,0,2,mse,0.012095585116185248,0.012289156031329185,0.00019357091514393687
fig_horizon_delta,0,2,psnr,20.218026399612427,20.0808527469635,-0.13717365264892578
fig_horizon_delta,0,2,ssim,0.7698255330324173,0.7660218551754951,-0.0038036778569221497
fig_horizon_delta,1,2,lpips,0.19146210514009,0.19073566235601902,-0.0007264427840709686
fig_horizon_delta,1,2,mse,0.012877933564595878,0.0132512126583606,0.00037327909376472235
fig_horizon_delta,1,2,psnr,19.929363131523132,19.860368967056274,-0.06899416446685791
fig_horizon_delta,1,2,ssim,0.7648941427469254,0.7632100507616997,-0.0016840919852256775
fig_horizon_delta,2,2,lpips,0.1942438744008541,0.1871035061776638,-0.007140368223190308
fig_horizon_delta,2,2,mse,0.012978474842384458,0.012146621535066515,-0.0008318533073179424
fig_horizon_delta,2,2,psnr,19.849523067474365,20.21052312850952,0.36100006103515625
fig_horizon_delta,2,2,ssim,0.7617494240403175,0.7695695459842682,0.007820121943950653
fig_horizon_delta,3,2,lpips,0.1950616668909788,0.19058749824762344,-0.00447416864335537
fig_horizon_delta,3,2,mse,0.013519199681468308,0.012839588103815913,-0.0006796115776523948
fig_horizon_delta,3,2,psnr,19.709494471549988,19.953519105911255,0.2440246343612671
fig_horizon_delta,3,2,ssim,0.7579341754317284,0.7642205134034157,0.006286337971687317
fig_horizon_delta,4,2,lpips,0.19831803068518639,0.19990899972617626,0.0015909690409898758
fig_horizon_delta,4,2,mse,0.013705526303965598,0.014685482950881124,0.0009799566469155252
fig_horizon_delta,4,2,psnr,19.633384704589844,19.454334139823914,-0.17905056476593018
fig_horizon_delta,4,2,ssim,0.7522109597921371,0.7495698407292366,-0.002641119062900543
fig_horizon_delta,0,3,lpips,0.18989618122577667,0.19421016797423363,0.004313986748456955
fig_horizon_delta,0,3,mse,0.012132712930906564,0.012551856925711036,0.00041914399480447173
fig_horizon_delta,0,3,psnr,20.193830847740173,19.983495712280273,-0.2103351354598999
fig_horizon_delta,0,3,ssim,0.7614848837256432,0.7555799186229706,-0.005904965102672577
fig_horizon_delta,1,3,lpips,0.1964354394003749,0.19348802883177996,-0.0029474105685949326
fig_horizon_delta,1,3,mse,0.013147781690349802,0.01308195834280923,-6.582334754057229e-05
fig_horizon_delta,1,3,psnr,19.844544172286987,19.932971715927124,0.08842754364013672
fig_horizon_delta,1,3,ssim,0.7528738081455231,0.7565666735172272,0.0036928653717041016
fig_horizon_delta,2,3,lpips,0.19905013777315617,0.19127332046627998,-0.0077768173068761826
fig_horizon_delta,2,3,mse,0.013423203607089818,0.012484974693506956,-0.0009382289135828614
fig_horizon_delta,2,3,psnr,19.71048378944397,20.132444143295288,0.42196035385131836
fig_horizon_delta,2,3,ssim,0.7513036876916885,0.7602098807692528,0.00890619307756424
fig_horizon_delta,3,3,lpips,0.19770968053489923,0.192361768335104,-0.005347912199795246
fig_horizon_delta,3,3,mse,0.0136710160295479,0.012818172050174326,-0.0008528439793735743
fig_horizon_delta,3,3,psnr,19.66909432411194,19.96365976333618,0.29456543922424316
fig_horizon_delta,3,3,ssim,0.7498435601592064,0.7582422569394112,0.008398696780204773
fig_horizon_delta,4,3,lpips,0.20089936815202236,0.20160027407109737,0.0007009059190750122
fig_horizon_delta,4,3,mse,0.013936507399193943,0.014475992356892675,0.0005394849576987326
fig_horizon_delta,4,3,psnr,19.60495162010193,19.566935062408447,-0.038016557693481445
fig_horizon_delta,4,3,ssim,0.745315432548523,0.7444040328264236,-0.0009113997220993042
fig_horizon_delta,0,4,lpips,0.18968898709863424,0.19442797265946865,0.004738985560834408
fig_horizon_delta,0,4,mse,0.011821952910395339,0.01243547783815302,0.0006135249277576804
fig_horizon_delta,0,4,psnr,20.344547271728516,20.097180128097534,-0.24736714363098145
fig_horizon_delta,0,4,ssim,0.7647285163402557,0.7584578916430473,-0.0062706246972084045
fig_horizon_delta,1,4,lpips,0.19752293825149536,0.1938256062567234,-0.0036973319947719574
fig_horizon_delta,1,4,mse,0.013050997105892748,0.012829490995500237,-0.0002215061103925109
fig_horizon_delta,1,4,psnr,19.935104608535767,20.082144021987915,0.14703941345214844
fig_horizon_delta,1,4,ssim,0.7526881992816925,0.7581543177366257,0.0054661184549331665
fig_horizon_delta,2,4,lpips,0.19975182600319386,0.19252964667975903,-0.00722217932343483
fig_horizon_delta,2,4,mse,0.013473590806825086,0.012366089038550854,-0.0011075017682742327
fig_horizon_delta,2,4,psnr,19.693422198295593,20.215773820877075,0.5223516225814819
fig_horizon_delta,2,4,ssim,0.7516463696956635,0.7610388249158859,0.009392455220222473
fig_horizon_delta,3,4,lpips,0.19752282369881868,0.1927209459245205,-0.004801877774298191
fig_horizon_delta,3,4,mse,0.01335263520013541,0.012509572872659191,-0.0008430623274762183
fig_horizon_delta,3,4,psnr,19.75085997581482,20.049286127090454,0.29842615127563477
fig_horizon_delta,3,4,ssim,0.7523729279637337,0.7584083825349808,0.006035454571247101
fig_horizon_delta,4,4,lpips,0.201374851167202,0.20033162832260132,-0.0010432228446006775
fig_horizon_delta,4,4,mse,0.013822847977280617,0.014108106319326907,0.00028525834204629064
fig_horizon_delta,4,4,psnr,19.63328504562378,19.701143741607666,0.06785869598388672
fig_horizon_delta,4,4,ssim,0.7453025057911873,0.7475484013557434,0.002245895564556122
fig_horizon_delta,0,5,lpips,0.19500291533768177,0.19902148842811584,0.004018573090434074
fig_horizon_delta,0,5,mse,0.011807138740550727,0.012426349188899621,0.0006192104483488947
fig_horizon_delta,0,5,psnr,20.243248462677002,20.03591823577881,-0.20733022689819336
fig_horizon_delta,0,5,ssim,0.7580264881253242,0.7537278234958649,-0.004298664629459381
fig_horizon_delta,1,5,lpips,0.20376198086887598,0.19784512370824814,-0.005916857160627842
fig_horizon_delta,1,5,mse,0.013292175310198218,0.012732067261822522,-0.0005601080483756959
fig_horizon_delta,1,5,psnr,19.768150091171265,20.02414107322693,0.25599098205566406
fig_horizon_delta,1,5,ssim,0.7446129694581032,0.7526530399918556,0.008040070533752441
fig_horizon_delta,2,5,lpips,0.20471461303532124,0.19719946570694447,-0.00751514732837677
fig_horizon_delta,2,5,mse,0.01358614000491798,0.012385054025799036,-0.0012010859791189432
fig_horizon_delta,2,5,psnr,19.597233057022095,20.13536787033081,0.5381348133087158
fig_horizon_delta,2,5,ssim,0.7446673661470413,0.7545655071735382,0.009898141026496887
fig_horizon_delta,3,5,lpips,0.20182296354323626,0.19572646729648113,-0.006096496246755123
fig_horizon_delta,3,5,mse,0.013121007184963673,0.01230854686582461,-0.0008124603191390634
fig_horizon_delta,3,5,psnr,19.707579135894775,20.028568148612976,0.3209890127182007
fig_horizon_delta,3,5,ssim,0.7466038912534714,0.7562027126550674,0.00959882140159607
fig_horizon_delta,4,5,lpips,0.20556032564491034,0.20403550378978252,-0.0015248218551278114
fig_horizon_delta,4,5,mse,0.013853504555299878,0.013825815520249307,-2.7689035050570965e-05
fig_horizon_delta,4,5,psnr,19.544086456298828,19.673532605171204,0.1294461488723755
fig_horizon_delta,4,5,ssim,0.7410914599895477,0.7438682913780212,0.0027768313884735107
fig_horizon_delta,0,6,lpips,0.19966149888932705,0.2032969743013382,0.0036354754120111465
fig_horizon_delta,0,6,mse,0.011728100886102766,0.012285596341826022,0.0005574954557232559
fig_horizon_delta,0,6,psnr,20.19134211540222,20.026400804519653,-0.16494131088256836
fig_horizon_delta,0,6,ssim,0.7489048689603806,0.7452285289764404,-0.0036763399839401245
fig_horizon_delta,1,6,lpips,0.20881173387169838,0.2021715920418501,-0.0066401418298482895
fig_horizon_delta,1,6,mse,0.012979643768630922,0.012435920390998945,-0.0005437233776319772
fig_horizon_delta,1,6,psnr,19.79185450077057,20.050585746765137,0.25873124599456787
fig_horizon_delta,1,6,ssim,0.7370557859539986,0.7449760064482689,0.007920220494270325
fig_horizon_delta,2,6,lpips,0.20948141813278198,0.20243676751852036,-0.007044650614261627
fig_horizon_delta,2,6,mse,0.013508275151252747,0.012184153543785214,-0.0013241216074675322
fig_horizon_delta,2,6,psnr,19.560234785079956,20.14392101764679,0.5836862325668335
fig_horizon_delta,2,6,ssim,0.7376552447676659,0.7447602674365044,0.007105022668838501
fig_horizon_delta,3,6,lpips,0.20481628458946943,0.1999068632721901,-0.004909421317279339
fig_horizon_delta,3,6,mse,0.012670309661189094,0.012150947586633265,-0.0005193620745558292
fig_horizon_delta,3,6,psnr,19.74566102027893,20.021374225616455,0.2757132053375244
fig_horizon_delta,3,6,ssim,0.7407760918140411,0.7466687560081482,0.005892664194107056
fig_horizon_delta,4,6,lpips,0.21021664515137672,0.20746820326894522,-0.002748441882431507
fig_horizon_delta,4,6,mse,0.013873293006327003,0.013397445902228355,-0.00047584710409864783
fig_horizon_delta,4,6,psnr,19.50377345085144,19.749218702316284,0.24544525146484375
fig_horizon_delta,4,6,ssim,0.7328736707568169,0.7366590574383736,0.0037853866815567017
fig_horizon_delta,0,7,lpips,0.20270127523690462,0.20552422665059566,0.002822951413691044
fig_horizon_delta,0,7,mse,0.011615184834226966,0.011992828221991658,0.0003776433877646923
fig_horizon_delta,0,7,psnr,20.269267559051514,20.11138653755188,-0.1578810214996338
fig_horizon_delta,0,7,ssim,0.7428349927067757,0.7395293191075325,-0.003305673599243164
fig_horizon_delta,1,7,lpips,0.21349385380744934,0.2049865610897541,-0.008507292717695236
fig_horizon_delta,1,7,mse,0.0130595569498837,0.012263862387044355,-0.0007956945628393441
fig_horizon_delta,1,7,psnr,19.808035612106323,20.096109867095947,0.288074254989624
fig_horizon_delta,1,7,ssim,0.7276929244399071,0.7388007789850235,0.011107854545116425
fig_horizon_delta,2,7,lpips,0.21225946582853794,0.20475246291607618,-0.007507002912461758
fig_horizon_delta,2,7,mse,0.013605123618617654,0.012248872517375275,-0.0013562511012423784
fig_horizon_delta,2,7,psnr,19.592238664627075,20.176502466201782,0.584263801574707
fig_horizon_delta,2,7,ssim,0.7315085232257843,0.738316036760807,0.006807513535022736
fig_horizon_delta,3,7,lpips,0.20696753915399313,0.20261048898100853,-0.0043570501729846
fig_horizon_delta,3,7,mse,0.012478375574573874,0.012026551004964858,-0.0004518245696090162
fig_horizon_delta,3,7,psnr,19.81754159927368,20.074954748153687,0.2574131488800049
fig_horizon_delta,3,7,ssim,0.7354027405381203,0.7414726093411446,0.006069868803024292
fig_horizon_delta,4,7,lpips,0.21265277173370123,0.209788229316473,-0.002864542417228222
fig_horizon_delta,4,7,mse,0.013780270412098616,0.013134707522112876,-0.0006455628899857402
fig_horizon_delta,4,7,psnr,19.56708788871765,19.767924785614014,0.2008368968963623
fig_horizon_delta,4,7,ssim,0.7259508669376373,0.7303775921463966,0.004426725208759308
